Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Share_NA,Share_EU,Share_JP,decade_cohort
1598,Road Rash 3D,PS,1998.0,Racing,Electronic Arts,1.05,0.16,0.0,0.04,1.25,1.25,0.8400000000000001,0.128,0.0,1990
1599,Ratchet: Deadlocked,PS2,2005.0,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,1.2400000000000002,0.6854838709677418,0.02419354838709677,0.17741935483870966,2000
1600,Baldur's Gate: Dark Alliance,PS2,2001.0,Role-Playing,Virgin Interactive,0.61,0.48,0.0,0.16,1.24,1.2499999999999998,0.4880000000000001,0.38400000000000006,0.0,2000
1601,Transformers: Autobots / Decepticons,DS,2007.0,Action,Activision,1.12,0.03,0.0,0.09,1.24,1.2400000000000002,0.9032258064516129,0.02419354838709677,0.0,2000
1602,Tales of Xillia,PS3,2011.0,Role-Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24,1.24,0.23387096774193547,0.1532258064516129,0.5403225806451614,2010
1603,Diddy Kong Racing DS,DS,2007.0,Racing,Nintendo,1.1,0.04,0.0,0.1,1.24,1.2400000000000002,0.8870967741935483,0.032258064516129024,0.0,2000
1604,[Prototype],PS3,2009.0,Action,Activision,0.65,0.41,0.0,0.19,1.24,1.25,0.52,0.32799999999999996,0.0,2000
1605,Assassin's Creed: Bloodlines,PSP,2009.0,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24,1.24,0.34677419354838707,0.3870967741935484,0.040322580645161296,2000
1606,Oddworld: Abe's Oddysee,PS,1997.0,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24,1.25,0.6,0.352,0.0,1990
1607,The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,Namco Bandai Games,0.66,0.47,0.0,0.11,1.24,1.24,0.5322580645161291,0.3790322580645161,0.0,2010
1608,Ridge Racer V,PS2,2000.0,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,1.24,0.1935483870967742,0.1532258064516129,0.6048387096774194,2000
1609,WWE SmackDown vs. Raw 2009,PS2,2008.0,Fighting,THQ,0.69,0.0,0.0,0.55,1.24,1.24,0.5564516129032258,0.0,0.0,2000
1610,Tetris 2 (All region sales),GB,1992.0,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,1.24,0.4516129032258065,0.1774193548387097,0.34677419354838707,1990
1611,Star Wars Episode III: Revenge of the Sith,XB,2005.0,Action,Activision,0.82,0.38,0.0,0.04,1.24,1.24,0.6612903225806451,0.3064516129032258,0.0,2000
1612,Ben 10: Protector of Earth,Wii,2007.0,Action,D3Publisher,0.55,0.55,0.0,0.13,1.23,1.23,0.4471544715447155,0.4471544715447155,0.0,2000
1613,Frogger: The Great Quest,PS2,2001.0,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23,1.2299999999999998,0.4878048780487806,0.38211382113821146,0.0,2000
1614,2010 FIFA World Cup South Africa,PS3,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,1.23,0.24390243902439024,0.5203252032520326,0.05691056910569106,2010
1615,Ninja Gaiden,XB,2004.0,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,1.2300000000000002,0.7479674796747967,0.16260162601626013,0.056910569105691054,2000
1616,Crash Bandicoot: The Wrath of Cortex,XB,2002.0,Platform,Universal Interactive,0.59,0.57,0.0,0.07,1.23,1.23,0.4796747967479675,0.46341463414634143,0.0,2000
1617,Driv3r,PS2,2004.0,Racing,Atari,0.6,0.47,0.0,0.16,1.23,1.2299999999999998,0.4878048780487806,0.38211382113821146,0.0,2000
1618,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003.0,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,1.23,1.24,0.5564516129032258,0.3790322580645161,0.0,2000
1619,Farming Simulator 2015,PC,2014.0,Simulation,Focus Home Interactive,0.08,1.02,0.0,0.13,1.23,1.23,0.06504065040650407,0.8292682926829269,0.0,2010
1620,Guitar Hero: Aerosmith,X360,2008.0,Misc,Activision,1.0,0.14,0.0,0.1,1.23,1.2400000000000002,0.8064516129032256,0.11290322580645161,0.0,2000
1621,Medal of Honor: Airborne,PS3,2007.0,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23,1.23,0.2032520325203252,0.5691056910569106,0.024390243902439025,2000
1622,Kirby Tilt 'n' Tumble,GB,2000.0,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,1.23,0.23577235772357721,0.13821138211382114,0.6097560975609756,2000
1623,SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003.0,Platform,THQ,0.88,0.33,0.0,0.02,1.23,1.23,0.7154471544715447,0.2682926829268293,0.0,2000
1624,Vigilante 8,PS,1998.0,Racing,Activision,0.68,0.47,0.0,0.08,1.23,1.23,0.5528455284552846,0.38211382113821135,0.0,1990
1625,Castlevania,NES,1986.0,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,1.2300000000000002,0.4390243902439024,0.04878048780487804,0.5040650406504065,1980
1626,Donkey Kong Country 2,GBA,2004.0,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,1.2200000000000002,0.6475409836065573,0.22131147540983603,0.0983606557377049,2000
1627,Bayonetta,PS3,2009.0,Action,Sega,0.44,0.41,0.21,0.17,1.23,1.23,0.35772357723577236,0.3333333333333333,0.17073170731707316,2000
1628,"WarioWare, Inc.: Mega MicroGame$",GBA,2003.0,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23,1.23,0.3252032520325204,0.08943089430894309,0.5691056910569106,2000
1629,Star Wars: Battlefront II,PSP,2005.0,Shooter,LucasArts,1.05,0.06,0.01,0.11,1.23,1.2300000000000002,0.8536585365853657,0.04878048780487804,0.008130081300813007,2000
1630,Madden NFL 17,PS4,2016.0,Sports,Electronic Arts,0.92,0.08,0.0,0.23,1.23,1.23,0.7479674796747968,0.06504065040650407,0.0,2010
1631,Boom Blox,Wii,2008.0,Puzzle,Electronic Arts,0.72,0.38,0.0,0.12,1.23,1.2200000000000002,0.5901639344262294,0.31147540983606553,0.0,2000
1632,Fallout 4,PC,2015.0,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23,1.23,0.4065040650406504,0.5121951219512195,0.0,2010
1633,The Sims 2: Castaway,Wii,2007.0,Simulation,Electronic Arts,0.45,0.64,0.0,0.14,1.23,1.23,0.36585365853658536,0.5203252032520326,0.0,2000
1634,LEGO Batman 2: DC Super Heroes,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.5,0.53,0.0,0.2,1.22,1.23,0.4065040650406504,0.43089430894308944,0.0,2010
1635,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010.0,Fighting,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22,1.2199999999999998,0.34426229508196726,0.3852459016393443,0.12295081967213117,2010
1636,Mario Power Tennis,GC,2004.0,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,1.23,0.47154471544715443,0.13008130081300814,0.3739837398373984,2000
1637,Intelligent Qube,PS,1997.0,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,1.22,1.22,0.10655737704918034,0.05737704918032788,0.819672131147541,1990
1638,Game & Watch Gallery 2,GB,1997.0,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22,1.2200000000000002,0.6229508196721311,0.24590163934426224,0.0983606557377049,1990
1639,Game & Watch Gallery 3,GB,1999.0,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22,1.2200000000000002,0.6475409836065573,0.25409836065573765,0.06557377049180327,1990
1640,Pac-Man,NES,1984.0,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22,1.22,0.2213114754098361,0.06557377049180328,0.6967213114754098,1980
1641,Parfait: Chocolat Second Style,PS2,2006.0,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22,1.21,0.48760330578512395,0.38016528925619836,0.008264462809917356,2000
1642,F1 2011,PS3,2011.0,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22,1.23,0.0975609756097561,0.6097560975609756,0.08943089430894309,2010
1643,Cars,PSP,2006.0,Racing,THQ,0.72,0.29,0.0,0.21,1.22,1.22,0.5901639344262295,0.23770491803278687,0.0,2000
1644,NBA Live 99,PS,1997.0,Sports,Electronic Arts,1.13,0.05,0.0,0.03,1.22,1.21,0.933884297520661,0.04132231404958678,0.0,1990
1645,Chocobo no Fushigi Dungeon,PS,1997.0,Role-Playing,SquareSoft,0.0,0.0,1.14,0.08,1.22,1.22,0.0,0.0,0.9344262295081966,1990
1646,Golden Sun: The Lost Age,GBA,2002.0,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,1.22,0.5,0.2213114754098361,0.2213114754098361,2000
1647,SimCity 2000,PS,1996.0,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22,1.2200000000000002,0.5573770491803278,0.3770491803278688,0.0,1990
1648,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22,1.22,0.8032786885245902,0.1557377049180328,0.0,2000
1649,WCW Mayhem,PS,1998.0,Fighting,Electronic Arts,0.68,0.46,0.0,0.08,1.22,1.2200000000000002,0.5573770491803278,0.3770491803278688,0.0,1990
1650,NBA 2K2,PS2,2002.0,Sports,Sega,0.59,0.46,0.01,0.15,1.22,1.21,0.48760330578512395,0.38016528925619836,0.008264462809917356,2000
1651,NASCAR Thunder 2003,PS2,,Racing,Unknown,0.6,0.46,0.0,0.16,1.22,1.22,0.4918032786885246,0.3770491803278689,0.0,
1652,Super Street Fighter IV: 3D Edition,3DS,2011.0,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22,1.22,0.4508196721311476,0.36065573770491804,0.11475409836065575,2010
1653,Cars,PS2,2006.0,Racing,THQ,1.01,0.04,0.0,0.16,1.21,1.21,0.8347107438016529,0.03305785123966942,0.0,2000
1654,Fuzion Frenzy,XB,2001.0,Misc,Microsoft Game Studios,0.93,0.24,0.0,0.04,1.21,1.21,0.7685950413223142,0.19834710743801653,0.0,2000
1655,Call of Duty: Finest Hour,XB,2004.0,Shooter,Activision,0.78,0.4,0.0,0.04,1.21,1.2200000000000002,0.6393442622950819,0.32786885245901637,0.0,2000
1656,FIFA Soccer 11,PSP,2010.0,Sports,Electronic Arts,0.13,0.7,0.01,0.37,1.21,1.21,0.10743801652892562,0.5785123966942148,0.008264462809917356,2010
1657,Sly Cooper and the Thievius Raccoonus,PS2,2002.0,Platform,Sony Computer Entertainment,1.03,0.14,0.0,0.04,1.21,1.21,0.8512396694214877,0.11570247933884299,0.0,2000
1658,LEGO Indiana Jones 2: The Adventure Continues,DS,2009.0,Action,Activision,0.66,0.43,0.0,0.12,1.21,1.21,0.5454545454545455,0.35537190082644626,0.0,2000
1659,The Magical Quest starring Mickey Mouse,SNES,1992.0,Platform,Capcom,0.66,0.17,0.35,0.03,1.21,1.2100000000000002,0.5454545454545454,0.14049586776859502,0.28925619834710736,1990
1660,Dragon Quest IV: Michibikareshi Monotachi,PS,2001.0,Role-Playing,Enix Corporation,0.0,0.0,1.2,0.01,1.21,1.21,0.0,0.0,0.9917355371900827,2000
1661,Star Wars Episode 1: Jedi Power Battles,PS,1999.0,Action,LucasArts,0.66,0.48,0.01,0.06,1.21,1.2100000000000002,0.5454545454545454,0.39669421487603296,0.008264462809917354,1990
1662,Dino Crisis 2,PS,2000.0,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,1.2100000000000002,0.28099173553719003,0.40495867768595034,0.23140495867768593,2000
1663,Need for Speed Underground,GC,2003.0,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,1.21,0.5702479338842975,0.39669421487603307,0.008264462809917356,2000
1664,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007.0,Misc,Unknown,0.87,0.32,0.0,0.02,1.21,1.21,0.71900826446281,0.2644628099173554,0.0,2000
1665,Test Drive 4,PS,1997.0,Racing,Electronic Arts,0.67,0.46,0.0,0.08,1.21,1.2100000000000002,0.5537190082644627,0.3801652892561983,0.0,1990
1666,FIFA Soccer 07,PSP,2006.0,Sports,Electronic Arts,0.24,0.65,0.0,0.32,1.21,1.21,0.19834710743801653,0.5371900826446281,0.0,2000
1667,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005.0,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0.0,1.2,1.2,0.008333333333333333,0.7333333333333334,0.25833333333333336,2000
1668,The Lord of the Rings: The Fellowship of the Ring,PS2,2002.0,Action,Black Label Games,0.59,0.46,0.0,0.15,1.2,1.2,0.49166666666666664,0.38333333333333336,0.0,2000
1669,LEGO Star Wars III: The Clone Wars,PS3,2011.0,Action,LucasArts,0.52,0.49,0.0,0.2,1.2,1.21,0.4297520661157025,0.4049586776859504,0.0,2010
1670,ATV Offroad Fury 3,PS2,2004.0,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,1.2,0.8333333333333334,0.03333333333333333,0.0,2000
1671,Pikmin 2,GC,2004.0,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,1.2,0.4,0.10833333333333334,0.46666666666666673,2000
1672,Just Dance 2016,Wii,2015.0,Misc,Ubisoft,0.52,0.59,0.0,0.1,1.2,1.21,0.4297520661157025,0.48760330578512395,0.0,2010
1673,Disney Sing It,Wii,2008.0,Misc,Disney Interactive Studios,0.77,0.31,0.0,0.12,1.2,1.2000000000000002,0.6416666666666666,0.2583333333333333,0.0,2000
1674,Battlefield: Hardline,XOne,2015.0,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2,1.21,0.5950413223140496,0.30578512396694213,0.008264462809917356,2010
1675,WWE 2K16,PS4,2015.0,Sports,Take-Two Interactive,0.41,0.6,0.0,0.19,1.2,1.2,0.3416666666666667,0.5,0.0,2010
1676,Dragon Ball Z: La Legende Saien,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2,1.2,0.0,0.0,1.0,1990
1677,TwinBee,NES,1986.0,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,1.2,0.0,0.0,1.0,1980
1678,Ganbare Goemon! Karakuri Douchuu,NES,1986.0,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,1.2,0.0,0.0,1.0,1980
1679,NFL 2K,DC,1999.0,Sports,Sega,1.12,0.05,0.0,0.02,1.2,1.1900000000000002,0.9411764705882353,0.04201680672268907,0.0,1990
1680,SolarStriker,GB,1989.0,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,1.19,0.33613445378151263,0.3277310924369748,0.3025210084033613,1980
1681,Enter the Matrix,XB,2003.0,Action,Atari,0.72,0.43,0.01,0.04,1.2,1.2,0.6,0.35833333333333334,0.008333333333333333,2000
1682,NHL 2002,PS2,2001.0,Sports,Electronic Arts,0.59,0.46,0.0,0.15,1.2,1.2,0.49166666666666664,0.38333333333333336,0.0,2000
1683,Mario vs. Donkey Kong 2: March of the Minis,DS,2006.0,Puzzle,Nintendo,0.74,0.03,0.36,0.07,1.2,1.2,0.6166666666666667,0.025,0.3,2000
1684,PokéPark Wii: Pikachu's Adventure,Wii,2009.0,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2,1.2000000000000002,0.4583333333333333,0.14166666666666666,0.3499999999999999,2000
1685,One Piece: Pirate Warriors,PS3,2012.0,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2,1.2,0.008333333333333333,0.2,0.7166666666666667,2010
1686,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.49,0.0,0.21,1.19,1.19,0.411764705882353,0.411764705882353,0.0,2010
1687,Metal Gear Solid: Portable Ops,PSP,2006.0,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.09,1.19,1.2,0.3166666666666667,0.2916666666666667,0.3166666666666667,2000
1688,Nuclear Strike,PS,1997.0,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19,1.1900000000000002,0.5546218487394957,0.3781512605042016,0.0,1990
1689,Captain Toad: Treasure Tracker,WiiU,2014.0,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19,1.2000000000000002,0.4666666666666666,0.29999999999999993,0.1583333333333333,2010
1690,WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,THQ,0.45,0.47,0.0,0.28,1.19,1.2,0.375,0.39166666666666666,0.0,2000
1691,The Simpsons: Road Rage,GBA,2003.0,Racing,THQ,0.86,0.32,0.0,0.02,1.19,1.2,0.7166666666666667,0.26666666666666666,0.0,2000
1692,Pro Evolution Soccer 2008,Wii,2008.0,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,1.19,0.07563025210084033,0.7058823529411765,0.09243697478991597,2000
1693,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002.0,Platform,THQ,0.92,0.23,0.0,0.04,1.19,1.1900000000000002,0.7731092436974789,0.19327731092436973,0.0,2000
1694,Mario & Sonic at the London 2012 Olympic Games,3DS,2012.0,Sports,Sega,0.18,0.64,0.27,0.1,1.19,1.1900000000000002,0.15126050420168063,0.5378151260504201,0.22689075630252098,2010
1695,Scarface: The World is Yours,PS2,2006.0,Action,Vivendi Games,0.99,0.04,0.0,0.16,1.19,1.19,0.8319327731092437,0.033613445378151266,0.0,2000
1696,Kobe Bryant in NBA Courtside,N64,1998.0,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19,1.2,0.8500000000000001,0.10833333333333334,0.03333333333333333,1990
1697,Disney's Chip 'n Dale: Rescue Rangers,NES,1990.0,Platform,Capcom,0.68,0.14,0.35,0.02,1.19,1.19,0.5714285714285715,0.11764705882352942,0.29411764705882354,1990
1698,The Dukes of Hazzard: Racing for Home,PS,1999.0,Racing,Ubisoft,0.99,0.16,0.0,0.04,1.19,1.19,0.8319327731092437,0.13445378151260506,0.0,1990
1699,Hitman 2: Silent Assassin,XB,,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19,1.1900000000000002,0.6386554621848739,0.31932773109243695,0.0,
1700,FIFA 14,XOne,2013.0,Sports,Electronic Arts,0.41,0.66,0.0,0.12,1.19,1.19,0.3445378151260504,0.5546218487394958,0.0,2010
1701,Spider-Man: The Movie,GC,2002.0,Action,Activision,0.86,0.27,0.01,0.04,1.19,1.18,0.728813559322034,0.22881355932203393,0.00847457627118644,2000
1702,Final Fantasy I & II: Dawn of Souls,GBA,2004.0,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,1.19,0.5378151260504203,0.20168067226890757,0.24369747899159663,2000
1703,NBA 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.83,0.14,0.0,0.22,1.19,1.19,0.6974789915966386,0.11764705882352942,0.0,2010
1704,Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19,1.1800000000000002,0.38983050847457623,0.2627118644067796,0.2796610169491525,2010
1705,Just Dance 4,X360,2012.0,Misc,Ubisoft,0.9,0.2,0.0,0.08,1.19,1.1800000000000002,0.7627118644067796,0.1694915254237288,0.0,2010
1706,Metal Gear Solid VR Missions,PS,1999.0,Adventure,Konami Digital Entertainment,0.66,0.45,0.0,0.08,1.18,1.1900000000000002,0.5546218487394957,0.3781512605042016,0.0,1990
1707,Pole Position,2600,1982.0,Racing,Atari,1.1,0.07,0.0,0.01,1.18,1.1800000000000002,0.9322033898305084,0.05932203389830508,0.0,1980
1708,Resident Evil: Operation Raccoon City,PS3,2012.0,Action,Capcom,0.48,0.25,0.36,0.1,1.18,1.19,0.40336134453781514,0.21008403361344538,0.3025210084033613,2010
1709,LEGO Indiana Jones: The Original Adventures,PSP,2008.0,Action,LucasArts,0.4,0.49,0.0,0.29,1.18,1.18,0.33898305084745767,0.4152542372881356,0.0,2000
1710,Pro Yakyuu Family Stadium '88,NES,1988.0,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0,1.18,1.1800000000000002,0.0847457627118644,0.0,0.9152542372881355,1980
1711,Shenmue,DC,1999.0,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,1.1800000000000002,0.44067796610169485,0.20338983050847453,0.3220338983050847,1990
1712,Mario Tennis,GB,2000.0,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18,1.18,0.42372881355932207,0.15254237288135594,0.3728813559322034,2000
1713,Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,Activision,0.85,0.31,0.0,0.02,1.18,1.18,0.7203389830508474,0.2627118644067797,0.0,2000
1714,WWE '12,PS3,2011.0,Fighting,THQ,0.53,0.46,0.02,0.17,1.18,1.18,0.4491525423728814,0.3898305084745763,0.01694915254237288,2010
1715,WWE SmackDown vs. Raw 2010,PS3,2009.0,Fighting,THQ,0.48,0.49,0.01,0.2,1.18,1.18,0.4067796610169492,0.4152542372881356,0.00847457627118644,2000
1716,Plants vs. Zombies,DS,2011.0,Strategy,Mastertronic,0.95,0.15,0.0,0.08,1.18,1.18,0.8050847457627118,0.1271186440677966,0.0,2010
1717,Sonic the Hedgehog,PS3,2006.0,Platform,Sega,0.41,0.07,0.04,0.66,1.18,1.1800000000000002,0.347457627118644,0.05932203389830508,0.033898305084745756,2000
1718,Super Ghouls 'n Ghosts,SNES,1991.0,Platform,Capcom,0.5,0.14,0.52,0.02,1.18,1.1800000000000002,0.42372881355932196,0.11864406779661016,0.44067796610169485,1990
1719,Spore,PC,2008.0,Strategy,Electronic Arts,0.03,1.06,0.0,0.09,1.17,1.1800000000000002,0.025423728813559317,0.8983050847457626,0.0,2000
1720,Soviet Strike,PS,1996.0,Simulation,Electronic Arts,0.65,0.44,0.0,0.08,1.17,1.1700000000000002,0.5555555555555555,0.376068376068376,0.0,1990
1721,Your Shape: Fitness Evolved 2012,X360,2011.0,Sports,Ubisoft,0.7,0.37,0.0,0.1,1.17,1.17,0.5982905982905983,0.3162393162393163,0.0,2010
1722,Army of Two,PS3,2008.0,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,1.17,0.6324786324786326,0.22222222222222224,0.017094017094017096,2000
1723,Gun,PS2,2005.0,Shooter,Activision,0.98,0.04,0.0,0.16,1.17,1.18,0.8305084745762712,0.03389830508474576,0.0,2000
1724,Ty the Tasmanian Tiger,PS2,2002.0,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17,1.17,0.48717948717948717,0.38461538461538464,0.0,2000
1725,Wario Land: Shake It!,Wii,2008.0,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17,1.17,0.5128205128205129,0.26495726495726496,0.12820512820512822,2000
1726,Sonic Rush Adventure,DS,2007.0,Platform,Sega,0.54,0.49,0.01,0.12,1.17,1.1600000000000001,0.46551724137931033,0.42241379310344823,0.008620689655172414,2000
1727,Medal of Honor: Warfighter,X360,2012.0,Action,Electronic Arts,0.58,0.47,0.01,0.1,1.17,1.16,0.5,0.4051724137931035,0.008620689655172415,2010
1728,Mega Man 3,NES,1990.0,Platform,Capcom,0.68,0.1,0.39,0.0,1.17,1.17,0.5811965811965812,0.08547008547008549,0.33333333333333337,1990
1729,Ratchet & Clank (2016),PS4,2016.0,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17,1.18,0.2711864406779661,0.5423728813559322,0.03389830508474576,2010
1730,Mission: Impossible,N64,1997.0,Action,Ocean,0.74,0.38,0.02,0.03,1.17,1.1700000000000002,0.6324786324786323,0.32478632478632474,0.017094017094017092,1990
1731,Romancing SaGa 2,SNES,1993.0,Role-Playing,SquareSoft,0.0,0.0,1.17,0.0,1.17,1.17,0.0,0.0,1.0,1990
1732,Cabela's Dangerous Hunts,PS2,2003.0,Sports,Zoo Digital Publishing,0.57,0.45,0.0,0.15,1.17,1.17,0.48717948717948717,0.38461538461538464,0.0,2000
1733,Cool Boarders 4,PS,1998.0,Sports,989 Studios,0.65,0.44,0.0,0.08,1.17,1.1700000000000002,0.5555555555555555,0.376068376068376,0.0,1990
1734,Rage Racer,PS,1996.0,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17,1.1800000000000002,0.13559322033898302,0.09322033898305083,0.7033898305084745,1990
1735,Medal of Honor: Rising Sun,XB,2003.0,Shooter,Electronic Arts,0.76,0.36,0.0,0.05,1.17,1.1700000000000002,0.6495726495726495,0.30769230769230765,0.0,2000
1736,Football Manager 2013,PC,2012.0,Sports,Sega,0.0,0.95,0.0,0.22,1.17,1.17,0.0,0.811965811965812,0.0,2010
1737,Destruction Derby 2,PS,1996.0,Racing,Psygnosis,0.65,0.44,0.0,0.08,1.17,1.1700000000000002,0.5555555555555555,0.376068376068376,0.0,1990
1738,Mirror's Edge,X360,2008.0,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.17,1.1600000000000001,0.43965517241379304,0.43965517241379304,0.008620689655172414,2000
1739,Destiny: The Taken King,XOne,2015.0,Shooter,Activision,0.82,0.23,0.0,0.11,1.17,1.1600000000000001,0.7068965517241378,0.1982758620689655,0.0,2010
1740,Mario vs. Donkey Kong,GBA,2004.0,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,1.1600000000000001,0.5862068965517241,0.21551724137931033,0.18103448275862066,2000
1741,007: Quantum of Solace,PS3,2008.0,Action,Activision,0.43,0.52,0.02,0.2,1.16,1.17,0.36752136752136755,0.4444444444444445,0.017094017094017096,2000
1742,EA Sports Active: More Workouts,Wii,2009.0,Sports,Electronic Arts,0.78,0.28,0.0,0.1,1.16,1.1600000000000001,0.6724137931034482,0.24137931034482757,0.0,2000
1743,Fallout: New Vegas,PC,2010.0,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16,1.17,0.49572649572649574,0.38461538461538464,0.0,2010
1744,Need for Speed: Most Wanted,PSV,2012.0,Racing,Electronic Arts,0.38,0.52,0.01,0.25,1.16,1.1600000000000001,0.3275862068965517,0.44827586206896547,0.008620689655172414,2010
1745,Final Fantasy Tactics: The War of the Lions,PSP,2007.0,Role-Playing,Square Enix,0.45,0.25,0.3,0.16,1.16,1.16,0.3879310344827587,0.21551724137931036,0.25862068965517243,2000
1746,Midnight Club 3: DUB Edition Remix,PS2,2006.0,Racing,Take-Two Interactive,0.97,0.04,0.0,0.16,1.16,1.17,0.8290598290598291,0.03418803418803419,0.0,2000
1747,Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004.0,Shooter,Ubisoft,0.57,0.44,0.0,0.15,1.16,1.16,0.49137931034482757,0.37931034482758624,0.0,2000
1748,SingStar,PS3,2007.0,Misc,Sony Computer Entertainment,0.45,0.58,0.0,0.13,1.16,1.1600000000000001,0.38793103448275856,0.4999999999999999,0.0,2000
1749,Bushido Blade,PS,1997.0,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,1.1700000000000002,0.3333333333333333,0.23076923076923075,0.3675213675213675,1990
1750,LEGO Star Wars III: The Clone Wars,DS,2011.0,Action,LucasArts,0.66,0.39,0.0,0.11,1.16,1.1600000000000001,0.5689655172413792,0.3362068965517241,0.0,2010
1751,NASCAR Thunder 2002,PS2,2001.0,Racing,Electronic Arts,0.57,0.44,0.0,0.15,1.16,1.16,0.49137931034482757,0.37931034482758624,0.0,2000
1752,Jet Force Gemini,N64,1999.0,Shooter,Nintendo,0.78,0.28,0.07,0.02,1.16,1.1500000000000001,0.6782608695652174,0.2434782608695652,0.0608695652173913,1990
1753,Mega Man X,SNES,1993.0,Platform,Capcom,0.57,0.08,0.5,0.01,1.16,1.16,0.49137931034482757,0.06896551724137932,0.4310344827586207,1990
